file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut1_dbo_id,cut1_other_id,cut2_dbo_id,cut2_other_id,cut3_dbo_id,cut3_other_id,cut_time1,cut_time2,cut_time3
311 - Beautiful Disaster.m4a,1698315116999,238.4,2024-12-02 16:38:31,30,10,3,1709888286999,1709895616376,1709892153367,1709887240630,1709888593847,1713434769026,1713433600698,1713430753485,1713429722014,1713430931854,1713430618913,135,216,226
311 - Come Original.m4a,1698286854182,223.33,2024-12-02 16:38:36,30,10,3,1709898885053,1709903954042,1709891325139,1709889826850,1709893455620,1713434298751,1713433041246,1713434588739,1713434814133,1713429951752,1713429947637,40,55,143
311 - Down.m4a,1698297475057,172.16,2024-12-02 16:38:40,30,10,3,1709900704566,1709904056893,1709889860935,1709898962304,1709903996452,1713432474972,1713432875866,1713433523063,1713431804815,1713432979057,1713431502085,57,96,110
311 - Prisoner.m4a,1698316885442,170.77,2024-12-02 16:38:44,30,10,3,1709894950968,1709883491861,1709895551798,1709902982365,1709890582829,1713434550156,1713429560863,1713433922207,1713432802976,1713433931807,1713432781583,46,79,151
311 - Transistor.m4a,1698328969732,181.63,2024-12-02 16:38:49,30,10,3,1709907541931,1709893275616,1709901397264,1709897555096,1709901400766,1713434302916,1713433151336,1713432950380,1713434742964,1713432587943,1713434687551,54,55,89
38 Special - The Sound of Your Voice.m4a,1698288301937,299.6,2024-12-02 16:38:54,30,10,3,1709902435194,1709896506310,1709901964015,1709908965082,1709909886042,1713435659811,1713430672403,1713434665616,1713434078298,1713435452512,1713434521586,151,214,273
ACDC - Are You Ready.m4a,1698296372845,250.33,2024-12-02 16:38:59,30,10,3,1709890530857,1709903658174,1709899554467,1709896052843,1709892438626,1713433905572,1713432395232,1713430074891,1713431797320,1713431739613,1713429890331,122,140,190
ACDC - Big Gun.m4a,1698289379403,263.01,2024-12-02 16:39:04,30,10,3,1709899022262,1709911268710,1709890298264,1709907071084,1709895918990,1713432314270,1713435134192,1713432611419,1713433528619,1713433832726,1713431315554,178,210,226
ACDC - Hard As a Rock.m4a,1698286549237,270.93,2024-12-02 16:39:09,30,10,3,1709891187748,1709904877843,1709898594795,1709908254178,1709903865155,1713431386968,1713431754455,1713435434367,1713431846314,1713435059593,1713429558323,97,203,228
ACDC - Moneytalks.m4a,1698316408468,225.96,2024-12-02 16:39:14,30,10,3,1709910685983,1709893086404,1709907211078,1709897725415,1709912156523,1713431320266,1713431750226,1713432506270,1713433238240,1713435954048,1713432097626,106,110,189
ACDC - Thunderstruck.m4a,1698316638464,292.33,2024-12-02 16:39:19,30,10,3,1709913311051,1709912320140,1709904613996,1709904513417,1709904370814,1713431337268,1713434745184,1713433479894,1713430636029,1713435234697,1713433582971,196,221,272
Adam Ant - Wonderful.m4a,1698316004999,262.53,2024-12-02 16:39:24,30,10,3,1709912759521,1709906222221,1709905684355,1709895759975,1709911859572,1713433358204,1713433561709,1713433098488,1713431654393,1713433007635,1713434411820,102,190,196
Aerosmith - Amazing.m4a,1698281990208,356.89,2024-12-02 16:39:28,30,10,3,1709906490693,1709903062927,1709910788847,1709905605423,1709895671541,1713431401490,1713431646208,1713432342085,1713433727980,1713434527020,1713433470092,142,165,244
Aerosmith - Blind Man.m4a,1698295574270,240.53,2024-12-02 16:39:33,30,10,3,1709906668290,1709907133276,1709906041900,1709906222304,1709901767001,1713433714976,1713432018759,1713432548659,1713431140486,1713432747857,1713432690293,96,150,213
Aerosmith - Crazy.m4a,1698299159265,316.97,2024-12-02 16:39:37,30,10,3,1709913934832,1709916380489,1709914691968,1709910090759,1709896018823,1713433376584,1713431795796,1713432563314,1713433084514,1713435935139,1713435049814,111,236,247
Aerosmith - Cryin'.m4a,1698280990882,307.95,2024-12-02 16:39:42,30,10,3,1709905850396,1709917113022,1709907798303,1709916325709,1709906915314,1713433653404,1713433521236,1713435263547,1713435791409,1713433064847,1713432882413,177,217,251
Aerosmith - Deuces Are Wild.m4a,1698287658201,215.87,2024-12-02 16:39:48,30,10,3,1709916717459,1709918123948,1709897050823,1709914007127,1709912689244,1713432364567,1713436477856,1713437377758,1713432025839,1713433708008,1713435150146,72,147,194
Aerosmith - Eat the Rich.m4a,1698284684753,250.44,2024-12-02 16:39:52,30,10,3,1709910548971,1709915582159,1709907614215,1709916784052,1709907520385,1713433074785,1713435224546,1713434757308,1713433252342,1713431869490,1713434046877,37,61,162
Aerosmith - Falling In Love (Is Hard On the Knees).m4a,1698284339302,205.92,2024-12-02 16:40:23,30,10,3,1709909850830,1709913843824,1709920487593,1709913027706,1709910551776,1713436602196,1713433614748,1713433982172,1713433809570,1713432697957,1713437426029,67,76,153
Aerosmith - Fever.m4a,1698318279728,255.26,2024-12-02 16:40:28,30,10,3,1709919601984,1709910446142,1709914794216,1709905487306,1709914079020,1713433026915,1713432570501,1713436766227,1713432266196,1713432990280,1713436737211,40,169,182
Aerosmith - Hole In My Soul.m4a,1698297256106,370.41,2024-12-02 16:40:32,30,10,3,1709908815875,1709916402265,1709902235924,1709920362230,1709922045546,1713434567488,1713435484698,1713434471477,1713433185478,1713434221583,1713432690598,102,326,333
Aerosmith - Livin' On the Edge.m4a,1698331071930,381.4,2024-12-02 16:40:37,30,10,3,1709905854020,1709920544869,1709921382763,1709915862455,1709921034448,1713434183388,1713434542971,1713433050551,1713436420682,1713437373336,1713434053488,213,337,365
Aerosmith - Pink.m4a,1698289816062,235.47,2024-12-02 16:40:41,30,10,3,1709916203020,1709921773430,1709907772106,1709919872632,1709911855023,1713435193495,1713431790412,1713433129638,1713437951395,1713435580271,1713437672743,112,172,219
Aerosmith - The Other Side.m4a,1698283237974,244.2,2024-12-02 16:40:45,30,10,3,1709904673413,1709901654567,1709911290785,1709917119820,1709917360762,1713433208774,1713435842378,1713432278139,1713434512419,1713437139621,1713433084308,153,173,199
Aerosmith - What It Takes.m4a,1698292396530,310.53,2024-12-02 16:40:50,30,10,3,1709916282176,1709904649829,1709923009407,1709922308584,1709923228604,1713434670294,1713434677494,1713433554327,1713431595871,1713436002334,1713437315827,199,253,287
Alanis Morissette - All I Really Want.m4a,1698295053183,283.28,2024-12-02 16:40:55,30,10,3,1709905955897,1709902904887,1709918156789,1709907598816,1709919736652,1713434250771,1713432858582,1713435493603,1713431584725,1713435988080,1713433093701,155,267,269
Alanis Morissette - Hand In My Pocket.m4a,1698291702767,218.56,2024-12-02 16:41:00,30,10,3,1709922316090,1709910342506,1709916123672,1709924939440,1709926148745,1713437348596,1713435457255,1713434265030,1713436110207,1713433763878,1713433304444,105,168,184
Alanis Morissette - Ironic.m4a,1698321491295,227.53,2024-12-02 16:41:04,30,10,3,1709925081117,1709912498254,1709917367453,1709908508986,1709922047970,1713433460527,1713438152449,1713433007483,1713435287222,1713435211019,1713436174868,95,131,213
Alanis Morissette - You Learn.m4a,1698331585530,238.92,2024-12-02 16:41:09,30,10,3,1709923974268,1709909629981,1709922798783,1709908888781,1709914748675,1713434142224,1713435217556,1713437546302,1713433580527,1713433518044,1713433122818,38,193,208
Alanis Morissette - You Oughta Know.m4a,1698293830856,248.12,2024-12-02 16:41:14,30,10,3,1709917921890,1709914334095,1709920299713,1709909326925,1709922964743,1713438339711,1713437085364,1713437608686,1713433460440,1713434560230,1713436067326,88,110,199
Alice In Chains - Again.m4a,1698291738283,245.0,2024-12-02 16:41:18,30,10,3,1709928541837,1709908223738,1709913088299,1709905400423,1709928652722,1713437578940,1713432225499,1713434517412,1713438222674,1713438652450,1713434927690,66,86,196
Alice In Chains - Angry Chair.m4a,1698298506644,287.8,2024-12-02 16:41:22,30,10,3,1709918221610,1709920823554,1709914302484,1709911180725,1709929352745,1713437322266,1713436084003,1713437183489,1713437826133,1713434005220,1713435107128,77,95,126
Alice In Chains - Down In a Hole.m4a,1698312808462,338.23,2024-12-02 16:41:28,30,10,3,1709920275705,1709924476219,1709930482850,1709929000178,1709920535103,1713432949969,1713434379737,1713435296781,1713435044629,1713432080447,1713433422175,84,94,263
Alice In Chains - Get Born Again.m4a,1698290303158,327.33,2024-12-02 16:41:32,30,10,3,1709922553594,1709930013054,1709918070013,1709911036174,1709928491280,1713434017749,1713433535344,1713435956822,1713433448690,1713436720550,1713434550785,183,209,250
Alice In Chains - Got Me Wrong.m4a,1698333786740,249.87,2024-12-02 16:41:37,30,10,3,1709927689746,1709931951740,1709928642614,1709930284222,1709926278418,1713439314574,1713434836047,1713435790822,1713434293957,1713433770344,1713432990233,36,87,147
